2025-	2-	10-	14:	21:	13,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	14:	27:	6,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	14:	45:	28,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	14:	45:	52,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	14:	50:	7,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	14:	50:	57,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	14:	53:	50,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	15:	0:	3,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	15:	10:	0,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	15:	12:	16,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	15:	18:	13,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	15:	19:	31,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	15:	20:	1,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	15:	33:	48,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	15:	35:	7,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	15:	45:	42,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	16:	12:	31,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	16:	17:	16,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	16:	17:	28,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	16:	18:	2,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	16:	29:	0,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	16:	30:	59,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	16:	32:	57,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	16:	33:	34,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	16:	34:	58,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	17:	3:	22,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	17:	3:	42,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	17:	22:	31,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	17:	24:	31,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	17:	24:	48,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	18:	34:	1,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	18:	38:	35,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	19:	1:	6,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	19:	18:	2,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	19:	27:	32,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	19:	29:	51,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	19:	30:	23,Nt:8,Nr:8,mu:4,samples:32
